index;age;gender;country;diploma;job;years_writting_code;most_recommended_langage;plateform_used_for_datascience;tpu_used;years_of_use_of_ml;company_size;how_many_ppl_work_on_ml;do_your_company_use_ml;salary;money_spent_in_ml;bigdata_product_used;bi_tool_used;tool_you_use_to_analyse_data
109;22-24;Man;India;Bachelor’s degree;Data Engineer;I have never written code;;;;;50-249 employees;1-2;I do not know;5,000-7,499;$0 ($USD);;;
110;25-29;Man;France;Master’s degree;Data Scientist;3-5 years;Python;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);Never;2-3 years;10,000 or more employees;20+;We are exploring ML methods (and may one day put a model into production);40,000-49,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
111;25-29;Woman;India;Master’s degree;Data Analyst;3-5 years;Python;A personal computer or laptop;2-5 times;1-2 years;0-49 employees;1-2;;;;;;
112;25-29;Woman;United States of America;Master’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;0;I do not know;$0-999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
113;35-39;Man;United States of America;Master’s degree;Data Scientist;10-20 years;SQL;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;4-5 years;50-249 employees;5-9;We recently started using ML methods (i.e., models in production for less than 2 years);150,000-199,999;$100-$999;;;Local development environments (RStudio, JupyterLab, etc.)
114;40-44;Woman;Chile;Master’s degree;Machine Learning Engineer;< 1 years;MATLAB;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);10,000-14,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
115;50-54;Man;United States of America;Doctoral degree;Machine Learning Engineer;20+ years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;4-5 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);;;;;
116;18-21;Woman;India;Bachelor’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;6-25 times;1-2 years;0-49 employees;0;I do not know;$0-999;$0 ($USD);;;Other
117;55-59;Man;Germany;Some college/university study without earning a bachelor’s degree;Data Engineer;20+ years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;No (we do not use ML methods);;;;;
118;40-44;Man;Egypt;Bachelor’s degree;Machine Learning Engineer;10-20 years;Python;A personal computer or laptop;Never;1-2 years;0-49 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);$0-999;$0 ($USD);;;
119;50-54;Man;Japan;Bachelor’s degree;Machine Learning Engineer;20+ years;Javascript;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);Never;3-4 years;1000-9,999 employees;10-14;We are exploring ML methods (and may one day put a model into production);90,000-99,999;$1000-$9,999;PostgresSQL ;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
120;18-21;Man;India;Bachelor’s degree;Machine Learning Engineer;1-2 years;Python;None;Never;Under 1 year;0-49 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);$0-999;$0 ($USD);;;Advanced statistical software (SPSS, SAS, etc.)
121;25-29;Man;United States of America;Master’s degree;Data Engineer;5-10 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;4-5 years;50-249 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);10,000-14,999;$10,000-$99,999;;;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
122;45-49;Man;Ukraine;Some college/university study without earning a bachelor’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;I do not know;40,000-49,999;$1000-$9,999;MySQL ;;Local development environments (RStudio, JupyterLab, etc.)
123;18-21;Man;India;Bachelor’s degree;Data Scientist;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;0;I do not know;$0-999;$0 ($USD);;;
124;35-39;Man;Netherlands;Master’s degree;Data Analyst;3-5 years;Python;A personal computer or laptop;Never;I do not use machine learning methods;250-999 employees;5-9;No (we do not use ML methods);50,000-59,999;$0 ($USD);;;
125;25-29;Woman;Philippines;Master’s degree;Data Engineer;1-2 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;1-2 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);5,000-7,499;$100,000 or more ($USD);;;
126;30-34;Man;Other;Master’s degree;Data Analyst;3-5 years;Python;A personal computer or laptop;Never;1-2 years;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);2,000-2,999;$100-$999;MySQL ;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
127;25-29;Man;Japan;Master’s degree;Data Scientist;5-10 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;5-10 years;250-999 employees;10-14;We have well established ML methods (i.e., models in production for more than 2 years);$0-999;$1-$99;Amazon Redshift ;;Local development environments (RStudio, JupyterLab, etc.)
128;22-24;Woman;India;Master’s degree;Data Analyst;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;1000-9,999 employees;0;We recently started using ML methods (i.e., models in production for less than 2 years);1,000-1,999;$100-$999;;Tableau;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
129;45-49;Woman;Other;Master’s degree;Data Analyst;1-2 years;SQL;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;I do not use machine learning methods;50-249 employees;3-4;No (we do not use ML methods);15,000-19,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
130;35-39;Nonbinary;United States of America;Master’s degree;Data Scientist;10-20 years;Other;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;10-20 years;250-999 employees;5-9;We have well established ML methods (i.e., models in production for more than 2 years);125,000-149,999;$10,000-$99,999;Microsoft Azure Data Lake Storage ;;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
131;30-34;Man;Ukraine;Master’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;Under 1 year;50-249 employees;1-2;We are exploring ML methods (and may one day put a model into production);2,000-2,999;$1000-$9,999;PostgresSQL ;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
132;45-49;Man;India;Master’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;1-2 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);20,000-24,999;$1000-$9,999;Microsoft SQL Server ;Tableau;Local development environments (RStudio, JupyterLab, etc.)
133;45-49;Man;Ukraine;Professional degree;Data Scientist;20+ years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;20 or more years;1000-9,999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);15,000-19,999;$1000-$9,999;MySQL ;;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
134;18-21;Man;Kenya;Bachelor’s degree;Machine Learning Engineer;1-2 years;Python;A personal computer or laptop;2-5 times;Under 1 year;0-49 employees;0;We have well established ML methods (i.e., models in production for more than 2 years);$0-999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
135;35-39;Man;South Africa;Master’s degree;Data Scientist;5-10 years;SQL;A personal computer or laptop;6-25 times;2-3 years;0-49 employees;3-4;We recently started using ML methods (i.e., models in production for less than 2 years);40,000-49,999;$10,000-$99,999;PostgresSQL ;;Local development environments (RStudio, JupyterLab, etc.)
136;22-24;Man;India;Bachelor’s degree;Machine Learning Engineer;1-2 years;C;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);$0-999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
137;25-29;Man;India;Bachelor’s degree;Data Scientist;5-10 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;3-4 years;1000-9,999 employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);15,000-19,999;$1000-$9,999;;;Local development environments (RStudio, JupyterLab, etc.)
138;30-34;Man;Other;I prefer not to answer;Data Scientist;5-10 years;Python;;;;;;;;;;;
139;35-39;Man;United States of America;Master’s degree;Machine Learning Engineer;10-20 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Once;5-10 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);100,000-124,999;$100,000 or more ($USD);Other;Tableau;
140;40-44;Man;Other;Master’s degree;Data Scientist;< 1 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;Under 1 year;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);25,000-29,999;$1000-$9,999;PostgresSQL ;;Local development environments (RStudio, JupyterLab, etc.)
141;18-21;Man;India;Bachelor’s degree;Machine Learning Engineer;< 1 years;Python;A personal computer or laptop;2-5 times;1-2 years;0-49 employees;5-9;We recently started using ML methods (i.e., models in production for less than 2 years);$0-999;$1000-$9,999;;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
142;22-24;Man;United States of America;Bachelor’s degree;Data Analyst;< 1 years;SQL;A personal computer or laptop;Never;Under 1 year;50-249 employees;3-4;We have well established ML methods (i.e., models in production for more than 2 years);80,000-89,999;$10,000-$99,999;Amazon Redshift ;;
143;50-54;Man;United States of America;Bachelor’s degree;Data Engineer;20+ years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;2-3 years;0-49 employees;3-4;We use ML methods for generating insights (but do not put working models into production);100,000-124,999;$100-$999;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
144;45-49;Man;Italy;Master’s degree;Machine Learning Engineer;5-10 years;Python;A personal computer or laptop;Once;1-2 years;0-49 employees;0;We recently started using ML methods (i.e., models in production for less than 2 years);$0-999;$1000-$9,999;;;Local development environments (RStudio, JupyterLab, etc.)
145;22-24;Man;Iran, Islamic Republic of...;Bachelor’s degree;Machine Learning Engineer;3-5 years;Python;A personal computer or laptop;Never;2-3 years;50-249 employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);;;;;
146;22-24;Man;Nigeria;Bachelor’s degree;Data Analyst;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);$0-999;$1-$99;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
147;30-34;Woman;United States of America;Master’s degree;Data Engineer;5-10 years;Python;A personal computer or laptop;Never;1-2 years;10,000 or more employees;20+;We use ML methods for generating insights (but do not put working models into production);100,000-124,999;$100,000 or more ($USD);IBM Db2 ;Other;Local development environments (RStudio, JupyterLab, etc.)
148;45-49;Man;Germany;Some college/university study without earning a bachelor’s degree;Data Scientist;20+ years;Julia;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);6-25 times;5-10 years;0-49 employees;1-2;I do not know;90,000-99,999;$100,000 or more ($USD);;;Other
149;22-24;Man;India;Master’s degree;Data Analyst;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;Under 1 year;250-999 employees;3-4;I do not know;70,000-79,999;$100-$999;MongoDB ;Tableau;Advanced statistical software (SPSS, SAS, etc.)
150;22-24;Man;United Kingdom of Great Britain and Northern Ireland;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);30,000-39,999;$1000-$9,999;;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
151;25-29;Woman;Spain;Master’s degree;Data Analyst;I have never written code;;;;;50-249 employees;20+;We are exploring ML methods (and may one day put a model into production);$0-999;$100-$999;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
152;22-24;Man;India;Bachelor’s degree;Data Analyst;< 1 years;Python;None;Never;Under 1 year;250-999 employees;20+;We use ML methods for generating insights (but do not put working models into production);7,500-9,999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
153;22-24;Man;United States of America;Master’s degree;Machine Learning Engineer;5-10 years;Python;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);Once;1-2 years;10,000 or more employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);50,000-59,999;$10,000-$99,999;;;Local development environments (RStudio, JupyterLab, etc.)
154;25-29;Man;Brazil;Master’s degree;Data Analyst;5-10 years;Python;A personal computer or laptop;Once;2-3 years;1000-9,999 employees;3-4;We are exploring ML methods (and may one day put a model into production);15,000-19,999;$100-$999;Microsoft SQL Server ;;Local development environments (RStudio, JupyterLab, etc.)
155;25-29;Man;India;Bachelor’s degree;Data Scientist;5-10 years;Python;A personal computer or laptop;Never;4-5 years;1000-9,999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);60,000-69,999;$10,000-$99,999;Snowflake ;;Local development environments (RStudio, JupyterLab, etc.)
